sigla,modalidade,grande_area,qtd_beneficiarios
ATP,Apoio Técnico em Extensão no País ,"Lingüística, Letras e Artes",2
GD,Doutorado,"Lingüística, Letras e Artes",5
IC,Iniciação Científica,"Lingüística, Letras e Artes",77
ICJ,Iniciação Científica Júnior,"Lingüística, Letras e Artes",20
PQ,Produtividade em Pesquisa,"Lingüística, Letras e Artes",9
APQ,Auxílio a Pesquisa,Outra,11
AT,Apoio Técnico a Pesquisa,Outra,2
DTI,Desenvolvimento Tecnológico Industrial,Outra,6
GM,Mestrado,Outra,5
IC,Iniciação Científica,Outra,19
PQ,Produtividade em Pesquisa,Outra,5
SET,Fixação de Recursos Humanos,Outra,4
DT,Produtividade Desen. Tec. e Extensão ,Tecnologias,24
IC,Iniciação Científica,Tecnologias,86
ICJ,Iniciação Científica Júnior,Tecnologias,6
IT,Iniciação Tecnológica,Tecnologias,9
