,uf,modalidade,R$
102,CE,PV - Pesquisador Visitante,127207.31
103,CE,SET - Fixação de Recursos Humanos,879700.0
104,CE,SWP - Doutorado-Sanduiche no Pais,15200.0
105,DF,AED - Auxílio a Editoração e Publicação,116500.0
106,DF,APQ - Auxílio a Pesquisa,22878298.74
107,DF,ARC - Promoção de Eventos Científicos,641000.0
108,DF,AT - Apoio Técnico a Pesquisa,64350.0
109,DF,ATP - Apoio Técnico em Extensão no País ,45900.0
110,DF,DT - Produtividade Desen. Tec. e Extensão ,594400.0
111,DF,DTC - Desenvolvimento Tecnológico em TICs,214000.0
112,DF,DTI - Desenvolvimento Tecnológico Industrial,6718520.0
113,DF,EPI - Bolsa de Treinamento - Programa ,1764371.75
114,DF,EV - Especialista Visitante,1179000.0
115,DF,EXP - Extensão no País,396800.0
116,DF,GD - Doutorado,5693830.0
117,DF,GM - Mestrado,2146500.0
118,DF,IC - Iniciação Científica,4928000.0
119,DF,ICJ - Iniciação Científica Júnior,2743000.0
120,DF,IEX - Iniciação ao Extensionismo,14040.0
121,DF,IT - Iniciação Tecnológica,288000.0
122,DF,ITC - Iniciação Tecnológica em TICs,8000.0
123,DF,ITI - Iniciação Tecnológica e Industrial,809200.0
124,DF,PAV - Bolsa Pesquisador-Avaliador,103800.0
125,DF,PCI - Programa de Capacitação Institucional,3277560.0
126,DF,PDI - Pos-doutorado Empresarial,90200.0
127,DF,PDJ - Pós-doutorado Júnior,941250.0
128,DF,PDS - Pós-doutorado Sênior,182750.0
129,DF,PQ - Produtividade em Pesquisa,8898900.0
130,DF,PV - Pesquisador Visitante,63150.0
131,DF,SET - Fixação de Recursos Humanos,939200.0
132,DF,SWP - Doutorado-Sanduiche no Pais,8800.0
133,ES,ADC - Apoio à Difusão do Conhecimento,5232.0
134,ES,APQ - Auxílio a Pesquisa,3583346.13
135,ES,ARC - Promoção de Eventos Científicos,110000.0
136,ES,AT - Apoio Técnico a Pesquisa,19250.0
137,ES,ATP - Apoio Técnico em Extensão no País ,45850.0
138,ES,DCR - Desenvolvimento Cientifico Regional,1497400.0
139,ES,DT - Produtividade Desen. Tec. e Extensão ,160600.0
140,ES,DTI - Desenvolvimento Tecnológico Industrial,174480.0
141,ES,EV - Especialista Visitante,22500.0
142,ES,EXP - Extensão no País,23980.0
143,ES,GD - Doutorado,872996.0
144,ES,GM - Mestrado,282000.0
145,ES,IC - Iniciação Científica,1664000.0
146,ES,ICJ - Iniciação Científica Júnior,98700.0
147,ES,IT - Iniciação Tecnológica,175600.0
148,ES,ITI - Iniciação Tecnológica e Industrial,1600.0
149,ES,PCI - Programa de Capacitação Institucional,1808170.0
150,ES,PDJ - Pós-doutorado Júnior,198450.0
151,ES,PDS - Pós-doutorado Sênior,28800.0
152,ES,PQ - Produtividade em Pesquisa,2589065.0
153,ES,PV - Pesquisador Visitante,31200.0
154,ES,SET - Fixação de Recursos Humanos,61900.0
155,Exterior,DEJ - Desenvolvimento Tecnológico e Inovação ,240174.76
156,Exterior,DES - Desenvolvimento Tecnológico e Inovação ,365774.26
157,Exterior,ESN - Estágio Sênior no Exterior,736897.39
158,Exterior,GD - Doutorado,147858.0
159,Exterior,GDE - Doutorado no Exterior,2909935.4
160,Exterior,GM - Mestrado,76500.0
161,Exterior,PDE - Pós-doutorado no Exterior,19988386.85
162,Exterior,SET - Fixação de Recursos Humanos,63000.0
