,uf,modalidade,R$
491,SC,AED - Auxílio a Editoração e Publicação,48500.0
492,SC,APQ - Auxílio a Pesquisa,26259109.27
493,SC,ARC - Promoção de Eventos Científicos,349000.0
494,SC,AT - Apoio Técnico a Pesquisa,130750.0
495,SC,ATP - Apoio Técnico em Extensão no País ,77200.0
496,SC,DT - Produtividade Desen. Tec. e Extensão ,541500.0
497,SC,DTI - Desenvolvimento Tecnológico Industrial,2101520.0
498,SC,EV - Especialista Visitante,131500.0
499,SC,EXP - Extensão no País,25300.0
500,SC,GD - Doutorado,7697974.0
501,SC,GM - Mestrado,3156000.0
502,SC,IC - Iniciação Científica,4418400.0
503,SC,ICJ - Iniciação Científica Júnior,229400.0
504,SC,IEX - Iniciação ao Extensionismo,14760.0
505,SC,IT - Iniciação Tecnológica,736000.0
506,SC,ITC - Iniciação Tecnológica em TICs,20500.0
507,SC,ITI - Iniciação Tecnológica e Industrial,170000.0
508,SC,PAV - Bolsa Pesquisador-Avaliador,23700.0
509,SC,PDI - Pos-doutorado Empresarial,36900.0
510,SC,PDJ - Pós-doutorado Júnior,1900100.0
511,SC,PDS - Pós-doutorado Sênior,226800.0
512,SC,PQ - Produtividade em Pesquisa,10271400.0
513,SC,PV - Pesquisador Visitante,20800.0
514,SC,SET - Fixação de Recursos Humanos,1568900.0
515,SE,APQ - Auxílio a Pesquisa,5367981.62
516,SE,ARC - Promoção de Eventos Científicos,197000.0
517,SE,AT - Apoio Técnico a Pesquisa,26950.0
518,SE,ATP - Apoio Técnico em Extensão no País ,33350.0
519,SE,DT - Produtividade Desen. Tec. e Extensão ,228900.0
520,SE,DTI - Desenvolvimento Tecnológico Industrial,125800.0
521,SE,EXP - Extensão no País,20900.0
522,SE,GD - Doutorado,690004.0
523,SE,GM - Mestrado,357000.0
524,SE,IC - Iniciação Científica,1438400.0
525,SE,ICJ - Iniciação Científica Júnior,176300.0
526,SE,IT - Iniciação Tecnológica,214400.0
527,SE,ITI - Iniciação Tecnológica e Industrial,6400.0
528,SE,PDJ - Pós-doutorado Júnior,306100.0
529,SE,PQ - Produtividade em Pesquisa,1563940.0
530,SE,SET - Fixação de Recursos Humanos,46500.0
531,SP,ADC - Apoio à Difusão do Conhecimento,168026.0
532,SP,AED - Auxílio a Editoração e Publicação,1238550.0
533,SP,APQ - Auxílio a Pesquisa,124628875.83
534,SP,ARC - Promoção de Eventos Científicos,2936540.62
535,SP,AT - Apoio Técnico a Pesquisa,415750.0
536,SP,ATP - Apoio Técnico em Extensão no País ,225000.0
537,SP,DT - Produtividade Desen. Tec. e Extensão ,2115300.0
538,SP,DTC - Desenvolvimento Tecnológico em TICs,5265000.0
539,SP,DTI - Desenvolvimento Tecnológico Industrial,11926600.0
540,SP,EV - Especialista Visitante,1527000.0
541,SP,EXP - Extensão no País,42617300.0
542,SP,GD - Doutorado,62026705.31
543,SP,GM - Mestrado,21780000.0
544,SP,IC - Iniciação Científica,20598000.0
545,SP,ICJ - Iniciação Científica Júnior,1098300.0
546,SP,IEX - Iniciação ao Extensionismo,360.0
547,SP,IT - Iniciação Tecnológica,1926400.0
548,SP,ITC - Iniciação Tecnológica em TICs,32000.0
549,SP,ITI - Iniciação Tecnológica e Industrial,425881.0
550,SP,PAV - Bolsa Pesquisador-Avaliador,48900.0
551,SP,PCI - Programa de Capacitação Institucional,7678840.0
552,SP,PDI - Pos-doutorado Empresarial,196800.0
553,SP,PDJ - Pós-doutorado Júnior,9078089.08
554,SP,PDS - Pós-doutorado Sênior,1700350.0
555,SP,PQ - Produtividade em Pesquisa,87882874.32
556,SP,PV - Pesquisador Visitante,182500.0
557,SP,SET - Fixação de Recursos Humanos,7918000.0
558,SP,SWP - Doutorado-Sanduiche no Pais,27900.0
559,TO,APQ - Auxílio a Pesquisa,851165.6
560,TO,AT - Apoio Técnico a Pesquisa,2750.0
561,TO,ATP - Apoio Técnico em Extensão no País ,26800.0
562,TO,DT - Produtividade Desen. Tec. e Extensão ,48400.0
563,TO,DTI - Desenvolvimento Tecnológico Industrial,916000.0
564,TO,EXP - Extensão no País,71700.0
565,TO,GD - Doutorado,339814.0
566,TO,GM - Mestrado,172500.0
567,TO,IC - Iniciação Científica,698000.0
568,TO,ICJ - Iniciação Científica Júnior,46800.0
569,TO,IT - Iniciação Tecnológica,117600.0
570,TO,ITI - Iniciação Tecnológica e Industrial,47200.0
571,TO,PDJ - Pós-doutorado Júnior,49500.0
572,TO,PQ - Produtividade em Pesquisa,224740.0
573,TO,PV - Pesquisador Visitante,40322.15
574,TO,SET - Fixação de Recursos Humanos,35000.0
