,modalidade,R$,grande_area
74,ICJ - Iniciação Científica Júnior,25900.0,Ciências Humanas
75,ICJ - Iniciação Científica Júnior,5500.0,Ciências Sociais Aplicadas
76,ICJ - Iniciação Científica Júnior,16500.0,Ciências da Saúde
77,ICJ - Iniciação Científica Júnior,19800.0,Engenharias
78,ICJ - Iniciação Científica Júnior,14900.0,"Lingüística, Letras e Artes"
79,ICJ - Iniciação Científica Júnior,2000.0,Tecnologias
80,IT - Iniciação Tecnológica,85600.0,Ciências Agrárias
81,IT - Iniciação Tecnológica,21200.0,Ciências Biológicas
82,IT - Iniciação Tecnológica,109200.0,Ciências Exatas e da Terra
83,IT - Iniciação Tecnológica,37200.0,Ciências Humanas
84,IT - Iniciação Tecnológica,6800.0,Ciências Sociais Aplicadas
85,IT - Iniciação Tecnológica,80800.0,Ciências da Saúde
86,IT - Iniciação Tecnológica,70800.0,Engenharias
87,IT - Iniciação Tecnológica,15200.0,Tecnologias
88,ITC - Iniciação Tecnológica em TICs,4500.0,Ciências Exatas e da Terra
89,ITC - Iniciação Tecnológica em TICs,8000.0,Ciências Humanas
90,ITC - Iniciação Tecnológica em TICs,9500.0,Engenharias
91,ITI - Iniciação Tecnológica e Industrial,34800.0,Ciências Agrárias
92,ITI - Iniciação Tecnológica e Industrial,1044.0,Ciências Exatas e da Terra
93,ITI - Iniciação Tecnológica e Industrial,12000.0,Ciências da Saúde
94,ITI - Iniciação Tecnológica e Industrial,27200.0,Engenharias
95,PAV - Bolsa Pesquisador-Avaliador,1200.0,Ciências Exatas e da Terra
96,PDI - Pos-doutorado Empresarial,24600.0,Ciências Biológicas
97,PDJ - Pós-doutorado Júnior,54000.0,Ciências Agrárias
98,PDJ - Pós-doutorado Júnior,72000.0,Ciências Biológicas
99,PDJ - Pós-doutorado Júnior,130100.0,Ciências Exatas e da Terra
100,PDJ - Pós-doutorado Júnior,58500.0,Ciências da Saúde
101,PDJ - Pós-doutorado Júnior,76500.0,Engenharias
102,PDS - Pós-doutorado Sênior,4800.0,Ciências Agrárias
103,PDS - Pós-doutorado Sênior,4800.0,Ciências Humanas
104,PQ - Produtividade em Pesquisa,717800.0,Ciências Agrárias
105,PQ - Produtividade em Pesquisa,1111940.0,Ciências Biológicas
106,PQ - Produtividade em Pesquisa,1860540.0,Ciências Exatas e da Terra
107,PQ - Produtividade em Pesquisa,586500.0,Ciências Humanas
108,PQ - Produtividade em Pesquisa,431100.0,Ciências Sociais Aplicadas
109,PQ - Produtividade em Pesquisa,863180.0,Ciências da Saúde
110,PQ - Produtividade em Pesquisa,889180.0,Engenharias
111,PQ - Produtividade em Pesquisa,133940.0,"Lingüística, Letras e Artes"
112,PQ - Produtividade em Pesquisa,77300.0,Outra
113,PV - Pesquisador Visitante,21300.0,Ciências Biológicas
114,PV - Pesquisador Visitante,40020.53,Ciências Humanas
115,PV - Pesquisador Visitante,39886.78,Ciências Sociais Aplicadas
116,PV - Pesquisador Visitante,26000.0,Ciências da Saúde
117,SET - Fixação de Recursos Humanos,236500.0,Ciências Agrárias
118,SET - Fixação de Recursos Humanos,101200.0,Ciências Biológicas
119,SET - Fixação de Recursos Humanos,141900.0,Ciências Exatas e da Terra
120,SET - Fixação de Recursos Humanos,10500.0,Ciências Humanas
121,SET - Fixação de Recursos Humanos,258500.0,Ciências da Saúde
122,SET - Fixação de Recursos Humanos,77100.0,Engenharias
123,SET - Fixação de Recursos Humanos,54000.0,Outra
124,SWP - Doutorado-Sanduiche no Pais,15200.0,Ciências da Saúde
